Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
January,14.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18,14.0,11.85,7.0,Standard,1073.94,41.02732543348296,Yes,36.06763128414976,128.21619016797754,High_spent_Small_value_payments,325.753011881206,Standard,325.0,2,1
February,14.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,,18,14.0,11.85,7.0,Standard,1073.94,30.389655492900893,Yes,36.06763128414976,130.09961140666988,Low_spent_Large_value_payments,333.8695906425137,Standard,326.0,2,1
March,14.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,20,13.0,11.85,7.0,_,1073.94,37.156218738469946,Yes,36.06763128414976,75.71790453528291,High_spent_Medium_value_payments,368.2512975139007,Standard,327.0,2,1
April,15.0,,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18,16.0,,7.0,Standard,1073.94,24.057560728746616,Yes,36.06763128414976,84.99894038349623,High_spent_Medium_value_payments,358.9702616656874,Standard,328.0,2,1
May,15.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18,11.0,11.85,10.0,_,1073.94,40.35044711432501,Yes,36.06763128414976,200.6710898484904,Low_spent_Large_value_payments,263.29811220069325,Standard,329.0,2,1
June,15.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,20,14.0,11.85,10.0,Standard,1073.94,22.205760583579146,Yes,36.06763128414976,302.0617221802914,Low_spent_Small_value_payments,181.90747986889215,Standard,,2,1
July,15.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18,15.0,11.85,10.0,Standard,1073.94,27.45233024468932,Yes,36.06763128414976,34.567422020091726,High_spent_Large_value_payments,399.4017800290919,Standard,331.0,2,1
August,15.0,Accountant,27796.42,2300.3683333333333,6.0,5.0,16.0,2.0,18,11.0,10.85,10.0,Standard,1073.94,33.9884417729958,,36.06763128414976,56.36788662920443,,387.6013154199792,Standard,332.0,2,1
January,29.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,11,7.0,10.28,2.0,Good,89.68,33.451349375902204,No,27228.0,353.1228639995384,High_spent_Small_value_payments,882.4191203287136,Good,332.0,2,1
February,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,6.0,10.28,285.0,Good,89.68,42.39788391530904,No,144.83068233841504,475.9167981204607,Low_spent_Medium_value_payments,779.6251862077911,Good,333.0,2,1
March,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,5.0,13.28,2.0,Good,89.68,41.34188581109759,No,144.83068233841504,258.8751188467216,High_spent_Large_value_payments,956.6668654815304,Good,334.0,2,1
April,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,7.0,10.28,2.0,Good,89.68,29.35715298233139,No,46698.0,913.1710383176132,Low_spent_Small_value_payments,352.37094601063865,Good,,2,1
May,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,,2.0,11,8.0,10.28,2.0,Good,89.68,27.622933790978397,No,144.83068233841504,514.0429430918309,Low_spent_Large_value_payments,731.4990412364209,Standard,336.0,2,1
June,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,,10.28,2.0,Good,89.68,40.08150517924266,No,144.83068233841504,223.31836709566943,High_spent_Large_value_payments,992.2236172325825,Good,,2,1
July,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,4.0,10.28,4.0,Good,89.68,38.95986306746559,No,144.83068233841504,918.7235207653414,Low_spent_Large_value_payments,326.81846356291044,Good,338.0,2,1
August,30.0,Engineer,132872.72,11203.726666666667,3.0,3.0,10.0,2.0,14,5.0,10.28,4.0,Good,89.68,29.55005879344251,No,144.83068233841504,173.51080191051963,High_spent_Large_value_payments,1042.0311824177322,Good,339.0,2,1
January,41.0,Architect,140014.36,,3.0,7.0,18.0,4.0,23,8.0,3.9,3.0,Standard,1151.7,34.92454850941926,,348.6203964507333,423.6241662413102,High_spent_Medium_value_payments,644.0417706412898,Standard,205.0,4,1
February,41.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,10.0,4.9,3.0,Standard,1151.7,33.129407017785425,,348.6203964507333,377.0611543369629,High_spent_Medium_value_payments,690.604782545637,Standard,206.0,4,1
March,41.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,10.0,3.9,3.0,Standard,1151.7,25.05169904872749,No,348.6203964507333,843.1987395541125,Low_spent_Medium_value_payments,254.4671973284873,Standard,207.0,4,1
April,41.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,10.0,3.9,3.0,Standard,1151.7,33.49290200706075,No,348.6203964507333,,High_spent_Large_value_payments,779.5739540725732,Standard,208.0,4,1
May,41.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,12.0,3.9,3.0,_,1151.7,37.398231803454365,No,348.6203964507333,364.0138411471718,High_spent_Small_value_payments,713.652095735428,Standard,209.0,4,1
June,42.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,10.0,3.9,3.0,Standard,1151.7,26.57131270519188,No,348.6203964507333,388.0007706219674,High_spent_Medium_value_payments,679.6651662606325,Standard,210.0,4,1
July,42.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,9.0,3.9,3.0,Standard,1151.7,31.671289197791463,No,348.6203964507333,572.3308454909459,Low_spent_Medium_value_payments,525.335091391654,Standard,211.0,4,1
August,42.0,Architect,140014.36,11662.863333333333,3.0,7.0,18.0,4.0,27,9.0,3.9,3.0,Standard,1151.7,27.06371959754867,,348.6203964507333,10000.0,High_spent_Large_value_payments,823.0863932421241,Standard,212.0,4,1
January,47.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,17,,11.56,3.0,_,869.99,34.98833625473729,No,74.69027138495908,386.89956133883805,Low_spent_Small_value_payments,129.03683394286952,Good,220.0,4,1
February,47.0,Accountant,37071.2,,1.0,6.0,6.0,4.0,14,5.0,11.56,3.0,_,869.99,34.97119015642894,No,74.69027138495908,68.2510482183638,High_spent_Large_value_payments,397.6853470633438,Good,221.0,4,1
March,47.0,Accountant,37071.2,,1.0,6.0,6.0,4.0,14,5.0,16.560000000000002,3.0,Good,869.99,28.31939475818112,No,74.69027138495908,142.89438110818446,Low_spent_Large_value_payments,353.0420141735231,Standard,,4,1
April,48.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,14,3.0,11.56,3.0,Good,869.99,39.63081460633832,No,74.69027138495908,276.8189914442773,Low_spent_Small_value_payments,239.1174038374304,Good,223.0,4,1
May,48.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,14,5.0,,3.0,Good,869.99,30.68536709760705,,74.69027138495908,57.42272997141857,High_spent_Large_value_payments,408.513665310289,Good,224.0,4,1
June,48.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,14,5.0,11.56,3.0,Good,869.99,32.250820819883664,No,74.69027138495908,68.03216108518802,High_spent_Large_value_payments,397.9042341965196,Good,225.0,4,1
July,48.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,14,5.0,11.56,,Good,869.99,22.70987817268497,No,74.69027138495908,119.99224916317252,High_spent_Medium_value_payments,355.94414611853506,Good,,4,1
August,48.0,Accountant,37071.2,3006.2666666666664,1.0,6.0,6.0,4.0,14,8.0,11.56,3.0,Good,869.99,30.49430852608319,No,74.69027138495908,53.602383645038,High_spent_Small_value_payments,432.3340116366696,Standard,227.0,4,1
January,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,19,6.0,11.25,2.0,Good,1480.92,32.503284267529445,No,109.61414671334232,98.89486393241624,High_spent_Small_value_payments,387.2872393542415,Standard,292.0,4,1
February,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,6.0,11.25,2.0,Good,1480.92,25.48749105288706,No,109.61414671334232,60.160863585682975,High_spent_Large_value_payments,406.02123970097466,Standard,293.0,4,1
March,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,,11.25,3.0,Good,1480.92,22.07844594750021,No,109.61414671334232,10000.0,Low_spent_Small_value_payments,77.07838233606998,Standard,294.0,4,1
April,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,5.0,11.25,3.0,Good,1480.92,34.23860844553955,No,109.61414671334232,387.466544799006,Low_spent_Small_value_payments,128.71555848765178,Standard,295.0,4,1
May,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,4.0,11.25,3.0,Good,1480.92,35.2842851643384,,109.61414671334232,10000.0,Low_spent_Small_value_payments,223.44351464024345,Standard,296.0,4,1
June,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,4.0,11.25,3.0,Good,1480.92,34.51094824202839,,109.61414671334232,87.83142993533698,High_spent_Medium_value_payments,388.3506733513207,Standard,297.0,4,1
July,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,6.0,14.25,3.0,Good,1480.92,28.67935496798823,No,109.61414671334232,164.2770255555719,High_spent_Small_value_payments,321.90507773108584,Standard,298.0,4,1
August,20.0,Entrepreneur,41735.55,3357.9625,0.0,3.0,8.0,4.0,15,7.0,11.25,3.0,Good,1480.92,29.27621739793857,,109.61414671334232,240.5894884487128,Low_spent_Medium_value_payments,265.592614837945,Standard,,4,1
January,38.0,Architect,40391.66,,10.0,7.0,18.0,3.0,35,23.0,3.51,12.0,Bad,1950.62,38.395779801006405,Yes,60.370828399887685,270.6282466524589,Low_spent_Medium_value_payments,284.79809161432013,Poor,95.0,3,1
February,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,35,20.0,3.51,12.0,Bad,1950.62,30.766039660449053,Yes,60.370828399887685,89.65122046732782,High_spent_Medium_value_payments,435.7751177994512,Poor,96.0,3,1
March,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,35,20.0,3.51,12.0,_,1950.62,34.54141616972455,Yes,60.370828399887685,313.41914472140826,Low_spent_Medium_value_payments,242.0071935453708,Poor,97.0,3,1
April,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,30,23.0,3.51,12.0,Bad,1950.62,23.347220759663223,Yes,60.370828399887685,253.0619062976144,Low_spent_Large_value_payments,292.3644319691647,Poor,98.0,3,1
May,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,39,21.0,3.51,12.0,Bad,1950.62,25.19202672457825,Yes,60.370828399887685,34.141433776380616,High_spent_Large_value_payments,481.2849044903985,Poor,99.0,3,1
June,38.0,Architect,40391.66,,10.0,7.0,18.0,3.0,35,24.0,3.51,12.0,Bad,1950.62,31.130554042693767,Yes,60.370828399887685,189.486825142579,Low_spent_Large_value_payments,355.93951312420006,Poor,100.0,3,1
July,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,35,23.0,3.51,12.0,Bad,1950.62,26.20491052261016,Yes,60.370828399887685,124.10697181558012,High_spent_Medium_value_payments,401.31936645119896,Standard,101.0,3,1
August,38.0,Architect,40391.66,3357.971666666667,10.0,7.0,18.0,3.0,33,23.0,3.51,12.0,Bad,1950.62,38.823619429163415,Yes,60.370828399887685,331.8652135329811,Low_spent_Small_value_payments,233.56112473379795,Poor,102.0,3,1
January,18.0,Writer,7441.295,873.1079166666667,5.0,8.0,33.0,6.0,17,16.0,5.119999999999999,10.0,Standard,2569.3,30.21890537998302,Yes,71268.0,96.3072436412694,Low_spent_Small_value_payments,255.58480480515635,Poor,67.0,6,1
February,18.0,Writer,7441.295,873.1079166666667,,8.0,33.0,6.0,17,16.0,11.12,10.0,Standard,2569.3,36.05020819180203,Yes,25.41874322024093,94.21915195844852,Low_spent_Small_value_payments,257.6728964879772,Poor,68.0,6,1
March,18.0,,7441.295,873.1079166666667,5.0,8.0,33.0,6.0,17,16.0,10.12,,_,2569.3,23.210114606564545,,25.41874322024093,42.12400278173378,,299.7680456646919,Poor,69.0,6,1
April,19.0,Writer,7441.295,873.1079166666667,5.0,8.0,33.0,6.0,17,14.0,11.12,10.0,_,2569.3,35.34160911542255,Yes,25.41874322024093,38.8136083740697,Low_spent_Small_value_payments,313.07844007235605,Standard,70.0,6,1
May,19.0,Writer,7441.295,,5.0,8.0,33.0,6.0,17,16.0,11.12,10.0,Standard,2569.3,27.068968680485263,Yes,25.41874322024093,56.938237251293536,Low_spent_Medium_value_payments,284.9538111951322,Poor,71.0,6,1
June,19.0,Writer,7441.295,822.5517437389348,5.0,8.0,33.0,,18,19.0,12.12,10.0,Standard,2569.3,29.128763241237174,Yes,75.97491614797292,55.39678501597884,Low_spent_Small_value_payments,296.49526343044687,Poor,,6,1
July,19.0,Writer,7441.295,822.5517437389348,5.0,8.0,33.0,6.0,17,16.0,11.12,13.0,_,2569.3,40.54499021268148,Yes,75.97491614797292,33.63298896122568,,318.25905948520005,Poor,73.0,6,1
August,19.0,Writer,7441.295,822.5517437389348,5.0,8.0,33.0,6.0,15,13.0,17.119999999999994,13.0,Standard,2569.3,40.21311733626235,Yes,75.97491614797292,91.76773490990148,Low_spent_Small_value_payments,260.12431353652426,Poor,74.0,6,1
January,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,4.0,Standard,2008.06,29.44953193902064,Yes,76.21247400832009,63.52147976988476,Low_spent_Medium_value_payments,290.0437128884618,Standard,199.0,5,1
February,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,4.0,_,2008.06,29.75799883947066,Yes,76.21247400832009,20.96898279881401,High_spent_Large_value_payments,292.59620985953256,Standard,200.0,5,1
March,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,4.0,_,2008.06,35.93733554823201,Yes,76.21247400832009,32.88341822356684,High_spent_Medium_value_payments,290.6817744347797,Standard,,5,1
April,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,5.0,Standard,2008.06,39.0721852028476,Yes,76.21247400832009,107.42327113341808,Low_spent_Small_value_payments,256.14192152492853,Standard,,5,1
May,,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,5.0,Standard,2008.06,30.09094621339511,Yes,76.21247400832009,166.24444087254918,Low_spent_Small_value_payments,197.32075178579743,Standard,203.0,5,1
June,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23,14.0,7.81,5.0,Standard,2008.06,29.54374904660727,Yes,76.21247400832009,54.20504867624296,High_spent_Medium_value_payments,269.36014398210364,Standard,204.0,5,1
July,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,27,14.0,13.81,5.0,Standard,2008.06,39.48925223328133,Yes,76.21247400832009,75.5324827796737,Low_spent_Small_value_payments,288.03270987867285,Standard,,5,1
August,40.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,,23,15.0,11.81,5.0,Standard,2008.06,35.58670021521672,,76.21247400832009,83.0409639692235,Low_spent_Large_value_payments,260.52422868912305,Standard,206.0,5,1
January,46.0,Entrepreneur,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,9,14.0,11.35,0.0,Standard,195.38,30.63404462673011,Yes,30.447776935964107,43.2662430770333,High_spent_Large_value_payments,397.965563320336,Standard,321.0,2,1
February,46.0,Entrepreneur,24585.55,,3.0,4.0,14.0,2.0,9,14.0,11.35,0.0,Standard,195.38,35.07876590765899,Yes,30.447776935964107,139.0459842955109,Low_spent_Small_value_payments,352.18582210185826,Standard,322.0,2,1
March,46.0,Entrepreneur,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,9,,11.35,0.0,Standard,195.38,37.73274571363483,Yes,30.447776935964107,58.819313382391776,High_spent_Medium_value_payments,392.41249301497743,Standard,,2,1
April,46.0,Entrepreneur,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,9,13.0,11.35,0.0,Standard,195.38,37.75461206929005,Yes,30.447776935964107,50.4683960100029,High_spent_Large_value_payments,390.7634103873663,Standard,324.0,2,1
May,46.0,Entrepreneur,24585.55,,3.0,4.0,14.0,2.0,9,14.0,16.35,0.0,Standard,195.38,27.45654796547434,Yes,30.447776935964107,50.95979277653346,High_spent_Small_value_payments,410.2720136208357,Standard,325.0,2,1
June,46.0,Entrepreneur,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,10,14.0,11.35,0.0,Standard,195.38,35.75935480169533,Yes,30.447776935964107,109.38612998246936,Low_spent_Small_value_payments,381.8456764148999,Standard,326.0,2,1
July,46.0,Entrepreneur,24585.55,,3.0,4.0,14.0,2.0,9,14.0,11.35,0.0,Standard,195.38,38.48151783562333,Yes,30.447776935964107,195.585611949847,Low_spent_Small_value_payments,295.64619444752225,Standard,327.0,2,1
August,46.0,Entrepreneur,24585.55,2316.795833333333,3.0,4.0,14.0,2.0,9,,11.35,1.0,_,195.38,31.151160715937134,Yes,30.447776935964107,66.07688307379429,Low_spent_Large_value_payments,405.1549233235749,Standard,328.0,2,1
January,26.0,,15013.73,1127.1441666666667,7.0,4.0,14.0,6.0,23,12.0,8.22,5.0,Standard,1403.17,31.796689606260543,Yes,51.547924156742056,75.20945228513598,,265.9570402247887,Standard,141.0,6,1
February,26.0,Manager,15013.73,1127.1441666666667,7.0,,14.0,6.0,18,7.0,8.22,5.0,_,1403.17,26.94834720036881,Yes,51.547924156742056,138.00874128044282,Low_spent_Small_value_payments,213.15775122948185,Standard,,6,1
March,26.0,Manager,15013.73,,7.0,4.0,14.0,6.0,20,9.0,1.2200000000000006,5.0,Standard,1403.17,25.55029322731448,,37941.0,38.9880358724792,Low_spent_Small_value_payments,312.17845663744544,Standard,143.0,6,1
April,27.0,Manager,15013.73,1127.1441666666667,7.0,4.0,,6.0,23,9.0,8.22,5.0,Standard,1403.17,27.426279563795205,Yes,51.547924156742056,129.52713329283085,Low_spent_Small_value_payments,221.63935921709373,Standard,144.0,6,1
May,27.0,Manager,15013.73,,7.0,4.0,14.0,6.0,23,12.0,8.22,5.0,Standard,1403.17,32.67643148671501,Yes,51.547924156742056,151.22532700266294,Low_spent_Small_value_payments,199.9411655072617,Standard,145.0,6,1
June,27.0,Manager,15013.73,1127.1441666666667,7.0,4.0,14.0,6.0,23,7.0,8.22,5.0,Standard,1403.17,36.28518211939962,Yes,51.547924156742056,,Low_spent_Small_value_payments,279.48753391122443,Standard,146.0,6,1
July,27.0,Manager,15013.73,,7.0,4.0,14.0,6.0,19,9.0,8.22,5.0,Standard,1403.17,31.092715656410647,Yes,51.547924156742056,39.56497520880101,Low_spent_Medium_value_payments,301.60151730112364,Standard,,6,1
August,27.0,Manager,15013.73,1127.1441666666667,7.0,4.0,14.0,6.0,23,9.0,8.22,5.0,Standard,1403.17,34.97962331450225,Yes,51.547924156742056,,Low_spent_Large_value_payments,273.6767523987052,Standard,148.0,6,1
January,43.0,Journalist,126006.68,,4.0,3.0,,3.0,13,12.0,7.28,0.0,Standard,385.8,22.989722164027448,Yes,239.7673292742656,1069.389909917204,Low_spent_Medium_value_payments,40.19842747519692,Standard,311.0,3,1
February,44.0,Journalist,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,11,11.0,10.28,0.0,Standard,385.8,29.54094701502387,Yes,239.7673292742656,718.6753576919807,,370.9129797004201,Standard,312.0,3,1
March,44.0,Journalist,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,16,12.0,7.28,0.0,Standard,385.8,30.68741311246648,Yes,239.7673292742656,264.1068677879902,Low_spent_Large_value_payments,835.4814696044107,Standard,313.0,3,1
April,44.0,Journalist,126006.68,,4.0,3.0,20.0,3.0,9,12.0,7.28,0.0,Standard,385.8,28.671552671002782,Yes,239.7673292742656,1082.8207308741428,Low_spent_Medium_value_payments,26.76760651825816,Standard,314.0,3,1
May,44.0,Journalist,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,8,12.0,7.28,0.0,Standard,385.8,34.867199936909486,Yes,239.7673292742656,408.2953698500015,High_spent_Medium_value_payments,671.2929675423994,Standard,315.0,3,1
June,44.0,Journalist,126006.68,,4.0,3.0,20.0,3.0,13,12.0,7.28,0.0,Standard,385.8,27.895430482593948,Yes,239.7673292742656,248.7005807628313,High_spent_Medium_value_payments,830.8877566295697,Standard,316.0,3,1
July,44.0,Journalist,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,13,11.0,7.28,0.0,Standard,385.8,38.53472433904832,Yes,239.7673292742656,547.7266912833952,Low_spent_Large_value_payments,551.8616461090056,Standard,317.0,3,1
August,44.0,Journalist,126006.68,10693.556666666664,4.0,3.0,20.0,3.0,13,13.0,7.28,0.0,Standard,385.8,39.90522241502006,Yes,239.7673292742656,212.270132932984,High_spent_Large_value_payments,857.318204459417,Standard,318.0,3,1
January,49.0,Developer,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,11,13.0,10.31,4.0,Standard,605.34,22.3936794206414,Yes,74.1586635323227,857.7632223732379,Low_spent_Small_value_payments,222.4557807611061,Standard,346.0,1,1
February,49.0,Developer,102885.32,,3.0,5.0,16.0,1.0,14,,11.31,4.0,Standard,605.34,30.83825551198491,Yes,74.1586635323227,142.0658007927357,High_spent_Medium_value_payments,898.1532023416082,Standard,347.0,1,1
March,49.0,Developer,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,13,13.0,10.31,4.0,Standard,605.34,28.406960520022945,Yes,74.1586635323227,298.14396084590567,High_spent_Medium_value_payments,742.0750422884382,Standard,348.0,1,1
April,49.0,Developer,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14,13.0,10.31,4.0,_,605.34,35.61185296765034,Yes,74.1586635323227,547.8315331679927,Low_spent_Small_value_payments,532.3874699663513,Standard,349.0,1,1
May,49.0,Developer,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14,13.0,10.31,119.0,Standard,605.34,27.656999889742277,Yes,74.1586635323227,495.63102644589895,Low_spent_Small_value_payments,584.587976688445,Standard,,1,1
June,49.0,Developer,102885.32,,3.0,5.0,16.0,1.0,14,,10.31,4.0,Standard,605.34,37.26393251916322,Yes,74.1586635323227,215.63445773971267,,814.5845453946312,Standard,,1,1
July,49.0,,102885.32,8643.776666666667,3.0,5.0,16.0,1.0,14,13.0,10.31,4.0,Standard,605.34,42.06913501619052,Yes,74.1586635323227,152.2626082458763,High_spent_Large_value_payments,877.9563948884677,Standard,352.0,1,1
August,49.0,,102885.32,,3.0,5.0,16.0,1.0,14,14.0,10.31,4.0,Standard,605.34,31.418099791745163,Yes,74.1586635323227,79.74686437036993,High_spent_Large_value_payments,950.472138763974,Standard,353.0,1,1
January,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,21,9.0,8.12,1.0,Standard,512.38,29.746346625274604,No,66.6764133130149,270.2397718355112,Low_spent_Small_value_payments,237.78389818480733,Standard,335.0,3,1
February,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,18,9.0,8.12,1.0,_,512.38,28.442962508977608,No,66.6764133130149,380.92333367345947,Low_spent_Small_value_payments,127.10033634685897,Standard,,3,1
March,38.0,,34212.01,,6.0,5.0,10.0,3.0,18,9.0,8.12,1.0,_,512.38,37.57055171398903,No,66.6764133130149,205.3957987555585,Low_spent_Medium_value_payments,292.62787126476,Standard,337.0,3,1
April,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,18,,8.12,1.0,Standard,512.38,31.85203896523492,No,66.6764133130149,150.70680257032674,High_spent_Small_value_payments,327.31686744999166,Standard,338.0,3,1
May,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,16,10.0,8.12,1.0,Standard,512.38,32.64457795122378,No,66.6764133130149,26.270084804365894,High_spent_Large_value_payments,431.7535852159525,Standard,339.0,3,1
June,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,18,9.0,8.12,1.0,Standard,512.38,28.431674292587594,No,66.6764133130149,236.87551335103333,,261.1481566692852,Standard,,3,1
July,38.0,Teacher,34212.01,2847.000833333333,6.0,5.0,10.0,3.0,18,9.0,8.12,1.0,Standard,512.38,32.200802985865536,No,66.6764133130149,147.24512390524674,Low_spent_Large_value_payments,340.77854611507166,Poor,,3,1
August,38.0,,34212.01,2847.000833333333,6.0,5.0,10.0,,18,9.0,8.12,1.0,Standard,512.38,27.02823304246173,No,66.6764133130149,116.9269340645926,,391.09673595572576,Poor,342.0,3,1
January,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,17,20.0,12.76,1.0,Standard,140.26,33.66718197569836,No,301.5608682455748,354.2155580510482,,595.3165737033771,Standard,376.0,4,1
February,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,15,20.0,9.76,1.0,Standard,140.26,36.90906559020144,No,301.5608682455748,361.42718879840623,Low_spent_Medium_value_payments,598.1049429560193,Standard,377.0,4,1
March,26.0,Entrepreneur,118487.16,,8.0,4.0,20.0,4.0,15,22.0,9.76,1.0,Standard,140.26,42.19925093208845,No,301.5608682455748,10000.0,High_spent_Large_value_payments,745.518594447889,Standard,378.0,4,1
April,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,15,20.0,9.76,1.0,Standard,140.26,36.72347393051628,No,301.5608682455748,359.2148111532985,High_spent_Small_value_payments,580.3173206011268,Standard,379.0,4,1
May,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,15,20.0,9.76,1.0,_,140.26,30.13918759572082,No,301.5608682455748,10000.0,Low_spent_Large_value_payments,508.65325721261337,Standard,380.0,4,1
June,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,15,20.0,9.76,,Standard,140.26,35.48599081175465,No,301.5608682455748,683.3484299104707,Low_spent_Medium_value_payments,276.1837018439545,Standard,381.0,4,1
July,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,15,21.0,9.76,1.0,Standard,140.26,35.46944850379572,No,301.5608682455748,170.98420089604724,High_spent_Medium_value_payments,758.5479308583781,Standard,382.0,4,1
August,26.0,Entrepreneur,118487.16,9810.93,8.0,4.0,20.0,4.0,11,17.0,9.76,1.0,_,140.26,31.473025171207237,No,301.5608682455748,386.4132287027871,High_spent_Medium_value_payments,543.1189030516382,Standard,383.0,4,1
January,26.0,Mechanic,77418.52,6450.543333333334,7.0,9.0,20.0,7.0,38,,20.05,6.0,Bad,3962.08,38.23495907191416,Yes,339.0310322831334,144.96034860397404,,411.06295244622606,Poor,136.0,7,1
February,26.0,Mechanic,77418.52,6450.543333333334,7.0,9.0,20.0,7.0,38,24.0,16.05,6.0,Bad,3962.08,34.76165175204828,Yes,339.0310322831334,212.3977646375187,Low_spent_Medium_value_payments,373.62553641268136,Poor,137.0,7,1
March,26.0,Mechanic,77418.52,6450.543333333334,,9.0,20.0,7.0,34,18.0,17.05,6.0,Bad,3962.08,31.32632677905246,Yes,339.0310322831334,398.466650554938,Low_spent_Large_value_payments,177.55665049526212,Poor,138.0,7,1
